ICAO, Registration, Model, Aircraft Type
c05bc6,C-GITP,A319,L2J
c00e8b,C-FFNE,B734,L2J
a07d01,N130UP,A306,L2J
49d13f,OK-TVM,B738,L2J
c01f28,C-FLUT,B38M,L2J
a8bd6a,N662UA,B763,L2J
c04814,C-GBHR,A319,L2J
46ada1,SX-KMA,CL60,L2J
c01040,C-FGDZ,B789,L2J
c05ee1,C-GJYE,BCS3,L2J
c051c6,C-GEZD,A321,L2J
ab00d6,N808NW,A333,L2J
c065e8,C-GMPJ,DHC6,L2T
c054a0,C-GGBF,DH8D,L2T
c07fe9,C-GWLK,B38M,L2J
4074e3,G-ZBJK,B788,L2J
c0616c,C-GKXF,E295,No
c06a38,C-GOFV,A333,L2J
c06a7a,C-GOIJ,A21N,L2J
c02fed,C-FSDW,B38M,L2J
aa77f0,N774AN,B772,L2J
c0104f,C-FGEO,B789,L2J
c051da,C-GEZX,A321,L2J
aa3b85,N759AN,B772,L2J
4d012d,LX-KCL,B744,L4J
c07fbe,C-GWJT,B737,L2J
c0751c,C-GSJB,A319,L2J
0c2065,HP-1725CMP,B738,L2J
a1b5e7,N20904,B788,L2J
7c1b06,VH-FMG,GL7T,No
c023c8,C-FNOH,B789,L2J
aa6bc0,N77022,B772,L2J
c00d7d,C-FFCU,B190,L2T
c06aa7,C-GOKC,A21N,L2J
3949f0,F-GSPQ,B772,L2J
aa2ca9,N755AN,B772,L2J
c050c4,C-GEPF,B38M,L2J
a18e9d,N2PG,GLF6,No
c0203e,C-FMFL,F2TH,L2J
a690a8,N522DA,A21N,L2J
a6d27b,N539GJ,CRJ7,L2J
aa998a,N782SF,GL7T,No
4006c4,G-VIIS,B772,L2J
c06364,C-GLQP,DH8D,L2T
440002,OE-LPA,B772,L2J
3444c4,EC-LZJ,A333,L2J
485341,PH-BHG,B789,L2J
4005ba,G-VIIB,B772,L2J
c0725d,C-GRIA,E55P,L2J
c00ebb,C-FFPA,B752,L2J
aae6d5,N801NW,A333,L2J
4bb199,TC-LLY,B789,L2J
4007f4,G-YMMI,B772,L2J
4952b3,CS-TUS,A339,L2J
3c6702,D-AIXB,A359,L2J
c0174f,C-FIVM,B77W,L2J
406f76,G-ZBKJ,B789,L2J
a9961b,N717AN,B77W,L2J
c05056,C-GEKZ,B38M,L2J
a9aebe,N723AN,B77W,L2J
c08412,C-GYAJ,B763,L2J
a976a5,N709GT,B77L,L2J
c04082,C-FYLD,ASTR,L2J
4ba94b,TC-JJK,B77W,L2J
c05650,C-GGRV,RV3,No
3965ab,F-GZNL,B77W,L2J
c0481c,C-GBHZ,A319,L2J
c027d1,C-FPCA,B763,L2J
c0196c,C-FJQH,A321,L2J
c05c5b,C-GIZI,P28R,L1P
c019d9,C-FJUM,DA40,L1P
a003ea,N10RZ,G150,L2J
c063fc,C-GLWL,PA31,L2P
c05190,C-GEXB,A321,L2J
c02df1,C-FRKI,F2TH,L2J
c06732,C-GNCB,GLEX,L2J
c047a3,C-GBDI,CL60,L2J
a8ec57,N674UA,B763,L2J
4ca15e,EI-DAA,A332,L2J
a7d6b3,N604GB,GA6C,No
