ICAO, Registration, Model, Aircraft Type
a6dc42,N541GJ,CRJ7,L2J
c05eb1,C-GJWI,A321,L2J
c00b7c,C-FEJB,E75S,No
c060ca,C-GKQZ,E295,No
abd018,N860NW,A332,L2J
c04b38,C-GCMP,LJ45,L2J
ab6851,N834MH,B764,L2J
c058cb,C-GHQG,A321,L2J
39cf04,F-HTYE,A359,L2J
c06e49,C-GPTW,C172,L1P
71be31,HL7631,B748,L4J
c004f3,C-FBWS,B38M,L2J
c074e1,C-GSGU,C208,L1T
c060c3,C-GKQS,E295,No
add051,N99AG,C25B,L2J
c06a75,C-GOIE,A21N,L2J
c01860,C-FJFZ,CRJ9,L2J
c078b2,C-GTSJ,A332,L2J
010154,SU-GDR,B77W,L2J
c083f2,C-GXZD,A333,L2J
c02f67,C-FRYS,LJ75,No
c066dd,C-GMYU,BCS3,L2J
c030fd,C-FSOI,B38M,L2J
c06167,C-GKXA,E295,No
c00b9c,C-FEKH,E75S,No
c0523f,C-GFDU,A320,L2J
c0866a,C-GYXL,SW4,L2P
c013dc,C-FHNN,B737,L2J
3c4581,D-AALA,B77L,L2J
c017e9,C-FJBK,C310,L2P
c0015c,C-FANJ,PC12,L1T
c07ffe,C-GWMF,TBM9,No
ab0a9d,N810NW,A333,L2J
c051d1,C-GEZO,A321,L2J
aa43c4,N760YX,E75L,No
abca08,N859NW,A332,L2J
c06927,C-GNVI,LJ45,L2J
a0e9b7,N158UP,A306,L2J
400684,G-VIIL,B772,L2J
3c4ad5,D-ABVU,B744,L4J
aaf828,N806AA,B788,L2J
c05eac,C-GJWD,A321,L2J
3c6570,D-AIKP,A333,L2J
406f7b,G-ZBKO,B789,L2J
c05ef9,C-GJZC,DH8D,L2T
3c4acd,D-ABVM,B744,L4J
c058cd,C-GHQI,A321,L2J
a6ffc3,N550DN,A21N,L2J
abbee3,N856NW,A332,L2J
ae026b,62-3515,K35R,L4J
c07c7a,C-GVDP,BCS3,L2J
abc651,N858NW,A332,L2J
3c670c,D-AIXL,A359,L2J
c01729,C-FIUA,B77L,L2J
c03003,C-FSES,B38M,L2J
4b1887,HB-JHN,A333,L2J
c04051,C-FYJG,A319,L2J
3c7a49,D-ANRI,A339,L2J
406f74,G-ZBKH,B789,L2J
3949e0,F-GSPA,B772,L2J
06a062,A7-BAC,B77W,L2J
3c4a03,D-ABPC,B789,L2J
4ba94e,TC-JJN,B77W,L2J
a972ee,N708GT,B77L,L2J
c06358,C-GLQD,DH8D,L2T
aab202,N789AN,B772,L2J
407cd2,G-XWBM,A35K,L2J
89644e,A6-EPY,B77W,L2J
c01e11,C-FLKA,B38M,L2J
896354,A6-ETQ,B77W,L2J
c060bc,C-GKQL,E295,No
485789,PH-BHO,B789,L2J
c0653d,C-GMIU,B38M,L2J
aaf968,N806NW,A333,L2J
c01074,C-FGFZ,B789,L2J
406a9c,G-ZBJE,B788,L2J
c005c5,C-FCEU,A321,L2J
aced2b,N932AV,A20N,L2J
c058bf,C-GHPU,B788,L2J
4bb189,TC-LLI,B789,L2J
c01049,C-FGEI,B789,L2J
a76154,N575DN,A21N,L2J
c080aa,C-GWSV,B738,L2J
c023c7,C-FNOG,B789,L2J
c08081,C-GWRG,B738,L2J
4bb18d,TC-LLM,B789,L2J
c0611f,C-GKUG,A333,L2J
3c64c5,D-AIFE,A343,L4J
c0502e,C-GEJL,B38M,L2J
4d012c,LX-ICL,B744,L4J
407af3,G-XWBI,A35K,L2J
a6bfa6,N534DT,A21N,L2J
4b8466,TC-ACF,B744,L4J
c08864,C-GZQX,E295,No
c03069,C-FSIQ,B38M,L2J
c01ebb,C-FLQO,B38M,L2J
c054e3,C-GGDU,DH8D,L2T
c01a5a,C-FJZL,CRJ9,L2J
c01a5c,C-FJZN,CRJ9,L2J
740826,JY-BAF,B788,L2J
71c008,HL8008,B77W,L2J
c0653f,C-GMIW,B38M,L2J
aa617c,N768YX,E75L,No
c052bb,C-GFIO,CRJ2,L2J
a9fa5c,N742E,CL30,L2J
a7c97d,N600YZ,GA6C,No
c07310,C-GROX,C182,L1P
ab2855,N818NW,A333,L2J
c03365,C-FTMA,CL30,L2J
c03006,C-FSEV,C172,L1P
c01d2d,C-FLBG,B38M,L2J
4d2139,9H-VJX,GLEX,L2J
c00668,C-FCLB,PC12,L1T
39cf03,F-HTYD,A359,L2J
c04acf,C-GCIO,B429,No
3c4b2f,D-ABYO,B748,L4J
c006b1,C-FCNW,B738,L2J
a124b5,N173DZ,B763,L2J
c05271,C-GFFS,C25B,L2J
71c005,HL8005,B77L,L2J
3c7a4c,D-ANRL,A339,L2J
44ccc8,OO-SFH,A333,L2J
c031f0,C-FSXR,CL30,L2J
406832,G-VWAG,A333,L2J
40675e,G-VNYC,A333,L2J
a120fe,N172DZ,B763,L2J
407371,G-VNYL,B789,L2J
4bb14c,TC-LJL,B77L,L2J
c04f06,C-GDYB,P28A,L1P
407be2,G-EILA,A333,L2J
4067d6,G-VGBR,A333,L2J
ab60e3,N832MH,B764,L2J
c01694,C-FIOH,SW4,L2P
c01ec5,C-FLQY,DH8D,L2T
c00b8a,C-FEJP,E75S,No
a649c8,N504LB,RV10,No
39a56f,F-HJLP,E550,No
c026ba,C-FORH,PA31,L2P
c0527b,C-GFGC,CL60,L2J
a665c5,N511GJ,CRJ7,L2J
ab321c,N820NW,A333,L2J
a67c03,N517FX,CL30,L2J
c0662c,C-GMRZ,RV12,No
3c15c1,D-AXGE,A332,L2J
c07358,C-GRRR,P28U,No
c027bf,C-FPBI,PA30,No
3cd003,D-CGBR,LJ55,L2J
c032c2,C-FTFT,BE10,L2T
c06b60,C-GORF,B190,L2T
c08859,C-GZQM,E295,No
86e452,JA864J,B789,L2J
ac83c3,N905WR,H25B,L2J
39c426,F-HRBG,B789,L2J
c0533b,C-GFNM,C172,L1P
c06f1f,C-GQCC,C550,L2J
c0864e,C-GYWJ,B737,L2J
c04135,C-FYSA,PA44,L2P
4007ed,G-YMMB,B772,L2J
c05219,C-GFCI,A320,L2J
c05030,C-GEJN,B38M,L2J
c06206,C-GLDD,C172,L1P
c0670f,C-GNAS,C25B,L2J
4007f0,G-YMME,B772,L2J
3c7a47,D-ANRG,A339,L2J
3c6564,D-AIKD,A333,L2J
c04941,C-GBTG,BE36,L1P
3c6563,D-AIKC,A333,L2J
406814,G-VGEM,A333,L2J
c001d7,C-FASC,C172,L1P
c00c67,C-FESC,C172,L1P
c03d9a,C-FXIN,-,No
c0648a,C-GMBX,PA44,L2P
4ba959,TC-JJY,B77W,L2J
c02513,C-FOBA,B58T,No
485b43,PH-BKC,B78X,L2J
c05027,C-GEJE,B350,L2T
4bb18b,TC-LLK,B789,L2J
406d4c,G-VCRU,B789,L2J
3c64f7,D-AIGW,A343,L4J
4a91b3,SE-DMS,A21N,L2J
c00b80,C-FEJF,E75S,No
a8dd7b,N670UA,B763,L2J
c05d9c,C-GJLR,GALX,L2J
407943,G-XWBG,A35K,L2J
347343,EC-NVR,A359,L2J
a75da2,N574DT,A21N,L2J
89611e,A6-ECW,B77W,L2J
39d2a4,F-HUVE,A359,L2J
4bb14a,TC-LJJ,B77W,L2J
a43bb3,N372EX,F2TH,L2J
48ae24,SP-LSE,B789,L2J
3c6572,D-AIKR,A333,L2J
3c4ada,D-ABVZ,B744,L4J
abac50,N851NW,A332,L2J
ad0e97,N940QS,C68A,No
ad763b,N967AV,A20N,L2J
c023bb,C-FNNU,B77W,L2J
c0293e,C-FPQB,B789,L2J
c0816e,C-GXAJ,B763,L2J
a6f23d,N547DE,A21N,L2J
c02ae3,C-FQGG,B38M,L2J
407af5,G-XWBJ,A35K,L2J
c010ea,C-FGKN,A321,L2J
c0336d,C-FTMI,F2TH,L2J
a8fda9,N679FE,A306,L2J
8962e5,A6-ETG,B77W,L2J
aa7082,N772AN,B772,L2J
a8c4d8,N664UA,B763,L2J
c02ed9,C-FRTG,B789,L2J
4843f3,PH-BQP,B772,L2J
406ec7,G-XLEL,A388,L4J
48ae07,SP-LRH,B788,L2J
c02ec1,C-FRSI,B789,L2J
4d0140,LX-OCV,B744,L4J
c01a72,C-FKAJ,B752,L2J
c052ca,C-GFJD,B38M,L2J
3c6707,D-AIXG,A359,L2J
c03c04,C-FWSX,B737,L2J
a8ac35,N658UA,B763,L2J
39cf0b,F-HTYL,A359,L2J
c0197e,C-FJQZ,CRJ9,L2J
3951c1,F-GUOB,B77L,L2J
3c70c2,D-ALFB,B77L,L2J
c07712,C-GTCJ,B752,L2J
c06af6,C-GOND,DH8A,L2T
4bb196,TC-LLV,B789,L2J
a05939,N121UP,A306,L2J
a9b2e9,N724FD,A306,L2J
c04aee,C-GCJT,B752,L2J
a3778e,N322UP,B763,L2J
a55054,N441WM,E55P,L2J
407cf7,G-DHLX,B77L,L2J
a6c70f,N536DN,A21N,L2J
c00943,C-FDNE,B350,L2T
a6eacf,N545DE,A21N,L2J
c04b8d,C-GCPW,J328,L2J
a53341,N434PB,GA6C,No
c02fe7,C-FSDQ,B38M,L2J
c071d9,C-GRCY,CL60,L2J
a445cd,N37456,B739,L2J
c060bd,C-GKQM,E295,No
c05bb6,C-GISZ,BE20,L2T
c05060,C-GELJ,B38M,L2J
a51d2d,N429BF,B429,No
a46ad6,N384HA,A332,L2J
c06d9a,C-GPND,B407,No
4d0107,LX-VCG,B748,L4J
c0675c,C-GNDR,TBM9,No
c067a1,C-GNGI,PC12,L1T
c06356,C-GLQB,DH8D,L2T
c05ff6,C-GKIV,C560,L2J
c08253,C-GXJE,GLEX,L2J
c00bcb,C-FEMC,LJ40,L2J
c06d9b,C-GPNE,DH8D,L2T
040088,ET-ARF,B788,L2J
c001da,C-FASF,E545,No
01013d,SU-GDO,B77W,L2J
c065f4,C-GMPV,PC12,L1T
c05086,C-GEMV,B38M,L2J
ab20e7,N816NW,A333,L2J
c07235,C-GRGM,FA7X,L3J
c03cf1,C-FXCA,B763,L2J
4d23e3,9H-TAU,B38M,L2J
c003a8,C-FBJZ,CRJ9,L2J
acf5f4,N934QS,C68A,No
c04a84,C-GCFR,DHC7,L4T
c0193c,C-FJOL,LJ60,L2J
3c4594,D-AALT,B77L,L2J
c007d4,C-FCZB,M20P,L1P
c0846a,C-GYDT,DA40,L1P
4d20d7,9H-VJL,GLEX,L2J
c036ca,C-FUTL,C525,L2J
c05c0e,C-GIWJ,B38M,L2J
4851b0,PH-BHE,B789,L2J
495308,CS-TXH,A21N,L2J
c01ec6,C-FLQZ,B38M,L2J
c023b7,C-FNNQ,B77W,L2J
a12d2f,N175QS,GL7T,No
ac3448,N886BR,B788,L2J
a9a4aa,N720ML,F900,L3J
c04c04,C-GCUL,FA7X,L3J
c07e32,C-GVUN,BCS3,L2J
39c421,F-HRBB,B789,L2J
4d0111,LX-VCH,B748,L4J
491d87,CS-GLG,GLEX,L2J
a8c796,N665JB,A320,L2J
c04b54,C-GCNR,CL60,L2J
aa39fd,N758YX,E75L,No
a77b6f,N581UP,B744,L4J
a98f6a,N715JB,A320,L2J
ab942f,N845UA,A319,L2J
c01732,C-FIUJ,B77L,L2J
c00318,C-FBEL,CL60,L2J
aae597,N801AC,B788,L2J
aa580e,N766CK,B744,L4J
3c66c1,D-AIVA,A359,L2J
c02ee7,C-FRTU,B789,L2J
4bb142,TC-LJB,B77W,L2J
76cdad,9V-SMM,A359,L2J
c012bd,C-FHCM,B38M,L2J
3965b2,F-GZNS,B77W,L2J
406d77,G-ZBKA,B789,L2J
c03af2,C-FWIJ,B738,L2J
c01725,C-FITW,B77W,L2J
c0003e,C-FACJ,B752,L2J
896472,A6-EUH,A388,L4J
c055b0,C-GGLR,CL60,L2J
40688c,G-XLEB,A388,L4J
c04cf4,C-GDDR,B38M,L2J
0c20ac,HP-1842CMP,B738,L2J
4ca5c6,EI-DUO,A332,L2J
ac7a5b,N903AK,B39M,L2J
c01929,C-FJNS,CL60,L2J
c04687,C-GASK,E545,No
407c8a,G-DHLY,B77L,L2J
a29980,N267FE,B763,L2J
a1d99b,N2180J,A21N,L2J
a6d234,N539DN,A21N,L2J
c018c8,C-FJJZ,CRJ9,L2J
c05efc,C-GJZF,DH8D,L2T
c04511,C-GAEA,C310,L2P
a449a3,N37562,B39M,L2J
c06aa4,C-GOJZ,CRJ9,L2J
c010ec,C-FGKP,A321,L2J
c0744d,C-GSBC,F2TH,L2J
a57362,N450PA,B744,L4J
c084a3,C-GYFY,A321,L2J
c0193b,C-FJOK,A321,L2J
a898a9,N653JB,A320,L2J
c02945,C-FPQI,DH8D,L2T
a68336,N519DN,A359,L2J
a6f5fc,N548DN,A21N,L2J
c00ae5,C-FEDG,CL35,L2J
04004c,ET-AOV,B788,L2J
a0017f,N1RF,GA5C,No
c06049,C-GKMA,DA40,L1P
495306,CS-TXF,A21N,L2J
440060,OE-LAE,B763,L2J
a36e56,N320AF,PC12,L1T
c0501e,C-GEIV,B38M,L2J
44001e,OE-LAY,B763,L2J
c08560,C-GYNF,A139,No
c06080,C-GKOD,A320,L2J
c02e94,C-FRQP,E75S,No
c080a3,C-GWSO,B737,L2J
49118a,CS-DLJ,F2TH,L2J
a085cb,N1326B,B350,L2T
c057a8,C-GHFB,C172,L1P
4ac8a8,SE-REH,A333,L2J
c07eef,C-GWBU,B738,L2J
c059de,C-GIAV,GLEX,L2J
71c043,HL8043,B77L,L2J
4952a7,CS-TUG,A339,L2J
3c6518,D-AIHX,A346,L4J
c000aa,C-FAGN,CL35,L2J
8963eb,A6-EON,A388,L4J
4c0221,YU-ARB,A332,L2J
a35c97,N3156J,BCS3,L2J
c00306,C-FBDT,PC12,L1T
a9e927,N738E,CL30,L2J
c05f0c,C-GJZV,CRJ9,L2J
8004df,VT-ALQ,B77W,L2J
c08851,C-GZQE,E295,No
aa52a0,N764YX,E75L,No
c06645,C-GMSY,LJ45,L2J
a042d2,N116DK,E55P,L2J
adc98b,N988H,FA8X,No
c051e4,C-GFAH,A333,L2J
c07b05,C-GUPG,BCS3,L2J
ac25c4,N882FD,B77L,L2J
3c64ec,D-AIGL,A343,L4J
a4835c,N390FX,E55P,L2J
a895eb,N652UA,B763,L2J
ae146d,07-7175,C17,L4J
aa0938,N746E,CL30,L2J
c07b59,C-GUSM,LJ45,L2J
3c4b2a,D-ABYJ,B748,L4J
a15b05,N187DN,B763,L2J
c02e91,C-FRQM,E75S,No
4bb147,TC-LJG,B77W,L2J
484560,PH-BVC,B77W,L2J
3c4ad8,D-ABVX,B744,L4J
39c427,F-HRBH,B789,L2J
c03d1a,C-FXDP,WW24,No
a8d3b4,N668UA,B763,L2J
ae1177,02-1105,C17,L4J
aa4ee9,N763YX,E75L,No
a31961,N29907,B788,L2J
aa7c64,N775JB,A320,L2J
3c7a4a,D-ANRJ,A339,L2J
c023aa,C-FNND,B77L,L2J
4ba9e2,TC-JOB,A333,L2J
3c66c2,D-AIVB,A359,L2J
4bb188,TC-LLH,B789,L2J
4b187d,HB-JHD,A333,L2J
89644c,A6-EPW,B77W,L2J
485342,PH-BHH,B789,L2J
8962e6,A6-ETH,B77W,L2J
c0475f,C-GBAS,E545,No
ace5bd,N930AV,A20N,L2J
c0506b,C-GELU,B38M,L2J
c088fb,C-GZWS,B738,L2J
3c6705,D-AIXE,A359,L2J
c03517,C-FUCS,B738,L2J
c030bb,C-FSLU,B38M,L2J
c04ae8,C-GCJN,B763,L2J
c011a2,C-FGRP,DH8A,L2T
a48e1f,N393BZ,GLEX,L2J
a02c40,N110AN,A321,L2J
34718e,EC-NRH,A332,L2J
ad57a2,N959RW,GA6C,No
a1025a,N164UP,A306,L2J
a8eb16,N674FE,A306,L2J
ac297b,N883FD,B77L,L2J
a35b34,N315UP,B763,L2J
c059d2,C-GIAJ,B752,L2J
a63beb,N500WG,C56X,L2J
c0482a,C-GBIN,A319,L2J
c01d16,C-FLAJ,B752,L2J
a68d02,N521DT,A21N,L2J
ad72f1,N966FD,B752,L2J
c05ccc,C-GJDR,GLEX,L2J
a48e81,N393FX,E55P,L2J
c01e90,C-FLOX,E50P,L2J
c05ccf,C-GJDU,CL35,L2J
c0123d,C-FGXO,BE9L,L2T
c0248a,C-FNVT,CL60,L2J
4d23bc,9H-ORN,B38M,L2J
c0534e,C-GFOF,B38M,L2J
c01e10,C-FLJZ,CRJ9,L2J
c05b6b,C-GIQC,PA27,L2P
a4671f,N383HA,A332,L2J
c08463,C-GYDM,C421,L2P
c0644e,C-GLZP,C150,L1P
ad0eea,N940U,AC80,No
c01006,C-FGBT,C150,L1P
c0123a,C-FGXL,BE9L,L2T
c06500,C-GMGL,M20P,L1P
c04e94,C-GDTR,GLEX,L2J
c06515,C-GMHG,LJ75,No
c00933,C-FDMO,BE76,L2P
c03318,C-FTJB,CL60,L2J
c00381,C-FBIM,B732,L2J
aa7f06,N77576,B39M,L2J
c0771e,C-GTCV,B06,H1T
ae013a,59-1488,K35R,L4J
c00432,C-FBPH,P28A,L1P
ab120b,N812NW,A333,L2J
c006db,C-FCPM,C208,L1T
c02913,C-FPOK,DHC6,L2T
4ba869,TC-JCI,A332,L2J
c0168b,C-FINY,RV7,No
a316ef,N299AF,PC24,No
4bb1a2,TC-LMB,B789,L2J
48ae06,SP-LRG,B788,L2J
4bb152,TC-LJR,B77L,L2J
c06403,C-GLWS,B38M,L2J
4b18fe,HB-JMC,A343,L4J
3c4b29,D-ABYI,B748,L4J
c02ff6,C-FSEF,C25B,L2J
49530c,CS-TXL,A21N,L2J
485b45,PH-BKF,B78X,L2J
440020,OE-LPB,B772,L2J
c05044,C-GEKH,B38M,L2J
4076e8,G-XWBA,A35K,L2J
c062e1,C-GLLO,TBM9,No
aaee43,N803NW,A333,L2J
ab1d30,N815NW,A333,L2J
c05004,C-GEHV,B38M,L2J
458c68,OY-CCH,CL60,L2J
ab099a,N810CM,A333,L2J
a44982,N37554,B39M,L2J
c0173e,C-FIUV,B77W,L2J
c05e91,C-GJVC,SW4,L2P
39cf13,F-HTYT,A359,L2J
c038c8,C-FVNB,B789,L2J
c044bb,C-GAAS,C25B,L2J
3c7a48,D-ANRH,A339,L2J
3c66c4,D-AIVD,A359,L2J
406d79,G-ZBKC,B789,L2J
c058c2,C-GHPX,B788,L2J
4ba952,TC-JJR,B77W,L2J
ab3d6f,N823QS,C700,No
3949f7,F-GSPX,B772,L2J
406f7a,G-ZBKN,B789,L2J
c07f02,C-GWCN,B737,L2J
a2a300,N26910,B788,L2J
c02494,C-FNWD,B38M,L2J
c04ae6,C-GCJL,A320,L2J
c00741,C-FCTK,B38M,L2J
4d207e,9H-VJC,GLEX,L2J
a84ab1,N633UP,B748,L4J
a80e46,N618UP,B748,L4J
a09ab9,N138UP,A306,L2J
a8c74e,N665FE,A306,L2J
c04af3,C-GCJY,B752,L2J
a1d368,N2169J,A21N,L2J
c00a37,C-FDWO,DH8A,L2T
c01002,C-FGBP,CL35,L2J
a6981a,N524DE,A21N,L2J
a2d600,N282GA,G260,No
aadd35,N8AK,GL7T,No
39ca8f,F-HSUP,FA6X,No
c05337,C-GFNI,C82T,No
4d20d8,9H-VJK,GLEX,L2J
c07d67,C-GVMS,C77R,No
c08265,C-GXJW,BE58,L2P
a0f46f,N1603,B763,L2J
c08670,C-GYXR,RV9,No
c05d56,C-GJIZ,CRJ9,L2J
c07cf9,C-GVIM,LJ75,No
c06219,C-GLDW,PA22,No
a3c940,N343JE,CL35,L2J
a21b74,N235DX,GL7T,No
c026fd,C-FOTW,C208,L1T
c01a52,C-FJZD,CRJ9,L2J
40787b,G-TUIO,B789,L2J
3c64f9,D-AIGY,A343,L4J
c05c2a,C-GIXL,DA40,L1P
c080a4,C-GWSP,B737,L2J
c05d98,C-GJLN,CL60,L2J
4d2373,9H-TQY,A343,L4J
c03084,C-FSJR,E550,No
c00f37,C-FFTU,P28R,L1P
ab6c08,N835MH,B764,L2J
c02da2,C-FRHH,C208,L1T
ab772d,N838MH,B764,L2J
ab9387,N845MH,B764,L2J
a6e767,N544GJ,CRJ7,L2J
c0855e,C-GYND,R44,H1P
c04768,C-GBBB,CL60,L2J
478d42,LN-RKR,A333,L2J
c06e9b,C-GPXA,T206,No
399c15,F-HHAV,A359,L2J
a06f8a,N127UW,A320,L2J
c06450,C-GLZR,PA27,L2P
c080ac,C-GWSX,B738,L2J
c074aa,C-GSER,PA24,No
840df8,JA03WJ,A35K,L2J
c08567,C-GYNM,A139,No
44a88c,OO-JDL,B788,L2J
a44963,N37548,B39M,L2J
c03bf7,C-FWSK,B737,L2J
c04840,C-GBJJ,PA44,L2P
4b187e,HB-JHE,A333,L2J
4b1901,HB-JMF,A343,L4J
c055eb,C-GGNY,DH8D,L2T
c05218,C-GFCH,A320,L2J
a5124c,N426DZ,A339,L2J
c072de,C-GRMZ,CL60,L2J
39d2a0,F-HUVA,A359,L2J
c03244,C-FTAX,AJET,L2J
c0582b,C-GHKC,A333,L2J
c0301a,C-FSFP,C25B,L2J
a061d9,N12345,DRON,No
c04f80,C-GECT,PC12,L1T
485b44,PH-BKD,B78X,L2J
8963a2,A6-EFO,B77L,L2J
c04fc9,C-GEFO,P28R,L1P
c04caa,C-GDAV,PELI,No
a8e8a0,N673UA,B763,L2J
4bb187,TC-LLG,B789,L2J
495304,CS-TXD,A21N,L2J
3c656d,D-AIKM,A333,L2J
407af4,G-XWBK,A35K,L2J
3c4b31,D-ABYQ,B748,L4J
3c4a8c,D-ABTL,B744,L4J
485788,PH-BHP,B789,L2J
ab1979,N814NW,A333,L2J
495309,CS-TXI,A21N,L2J
c06a8d,C-GOJC,A21N,L2J
c07ee8,C-GWBN,B737,L2J
c07676,C-GSWJ,B737,L2J
3c6709,D-AIXI,A359,L2J
ae1465,06-6167,C17,L4J
4ba947,TC-JJG,B77W,L2J
a36a10,N319UP,B763,L2J
c073f4,C-GRXR,PC12,L1T
c0054d,C-FCAE,B763,L2J
495266,CS-TSF,A21N,L2J
4bb18e,TC-LLN,B789,L2J
a826e9,N624UP,B748,L4J
a6dfaa,N542DE,A21N,L2J
c0405a,C-FYJP,A319,L2J
a06815,N125UP,A306,L2J
a1ce99,N2151J,A21N,L2J
a65bbc,N509DT,A21N,L2J
c01e13,C-FLKC,B38M,L2J
a46fad,N385UP,B763,L2J
c03d0f,C-FXDE,BE10,L2T
c01fba,C-FMAJ,B763,L2J
c00b70,C-FEIP,P32T,No
c00fab,C-FFYG,E75S,No
a9b275,N724AN,B77W,L2J
a9a399,N720AN,B77W,L2J
c053c8,C-GFSX,C25B,L2J
c06738,C-GNCH,B738,L2J
a641fd,N502GJ,CRJ7,L2J
aa8a83,N779AN,B772,L2J
c04dd0,C-GDMD,C421,L2P
acb5e6,N918RM,S22T,No
3c4583,D-AALC,B77L,L2J
491d88,CS-GLH,GLEX,L2J
ab80f4,N840MH,B764,L2J
c080a6,C-GWSR,B738,L2J
ab5365,N829MH,B764,L2J
a5df18,N478CV,SF50,No
3949e3,F-GSPD,B772,L2J
8963e5,A6-EOH,A388,L4J
c03001,C-FSEQ,B38M,L2J
3c64f4,D-AIGT,A343,L4J
a70b2f,N553GJ,CRJ7,L2J
c069c9,C-GOBO,P28A,L1P
a98539,N712TW,B752,L2J
c07534,C-GSJZ,DH8D,L2T
3c7a54,D-ANRT,A339,L2J
ae038b,62-3543,K35R,L4J
406891,G-ZBJD,B788,L2J
c071a4,C-GRAX,B38M,L2J
c07998,C-GUBF,A332,L2J
344305,EC-LUK,A333,L2J
c058c0,C-GHPV,B788,L2J
c07e59,C-GVWA,B738,L2J
a414e8,N362NB,A319,L2J
484369,PH-BQB,B772,L2J
780a1d,B-LJE,B748,L4J
c01cae,C-FKWJ,B738,L2J
0c2084,HP-1828CMP,B738,L2J
405bfc,G-YMMS,B772,L2J
a18dd3,N2FE,GLEX,L2J
40797c,G-ZBLE,B78X,L2J
71be32,HL7632,B748,L4J
344345,EC-LXK,A333,L2J
868034,JA737J,B77W,L2J
a9b9e3,N726AN,B77W,L2J
c04b8e,C-GCPX,SW4,L2P
3c68cb,D-AJFK,A333,L2J
a98edc,N715CK,B744,L4J
a81f7b,N622UP,B748,L4J
896186,A6-EEG,A388,L4J
c02dcf,C-FRJA,CRJ9,L2J
c05212,C-GFCB,CL60,L2J
c01f1e,C-FLUJ,B38M,L2J
c0248c,C-FNVV,A320,L2J
3c0e3d,D-AUKE,CL60,L2J
c01206,C-FGVL,C182,L1P
c006d9,C-FCPK,P46T,L1T
a66ce0,N513DA,A21N,L2J
4067a3,G-DHLJ,B763,L2J
3c6573,D-AIKS,A333,L2J
a18ada,N199NV,A320,L2J
a759eb,N573DT,A21N,L2J
c01867,C-FJGG,LJ60,L2J
c03f81,C-FYBG,PC12,L1T
a5047c,N422QS,E55P,L2J
a70778,N552GJ,CRJ7,L2J
c041bc,C-FYXF,A321,L2J
c001ea,C-FASV,E545,No
c08588,C-GYOT,C310,L2P
c03dac,C-FXJF,E75S,No
4bb185,TC-LLE,B789,L2J
c07ee6,C-GWBL,B738,L2J
ab048d,N809NW,A333,L2J
c07d87,C-GVNY,AJET,L2J
c0792f,C-GTXE,LJ35,L2J
a6cacb,N537DT,A21N,L2J
c0871c,C-GZEH,AJET,L2J
c08605,C-GYTO,AJET,L2J
c04222,C-FZBD,DA40,L1P
3949e6,F-GSPG,B772,L2J
a6583b,N508FX,CL35,L2J
c073e4,C-GRXB,PC12,L1T
c0360e,C-FUMF,B738,L2J
440652,OE-ISN,GLF5,L2J
a694b2,N523GJ,CRJ7,L2J
495302,CS-TXB,A21N,L2J
c07ef2,C-GWBX,B737,L2J
c01e5b,C-FLMW,G280,L2J
4078dd,G-XWBF,A35K,L2J
c05ebb,C-GJWS,B738,L2J
a0f735,N161UP,A306,L2J
a80556,N616DC,GLEX,L2J
a4eb4e,N416KC,F900,L3J
a8afec,N659UA,B763,L2J
aa5657,N765YX,E75L,No
4952a2,CS-TUB,A339,L2J
c06817,C-GNKW,TBM9,No
3c7a4d,D-ANRM,A339,L2J
c010a8,C-FGHZ,B789,L2J
495267,CS-TSG,A21N,L2J
869210,JA787A,B77W,L2J
aa9321,N78017,B772,L2J
c06cda,C-GPFT,B38M,L2J
49530b,CS-TXK,A21N,L2J
405bfd,G-YMMT,B772,L2J
06a080,A7-BFB,B77L,L2J
406560,G-SVNX,FA7X,L3J
868012,JA736J,B77W,L2J
4d0117,LX-VCM,B748,L4J
a6f9b3,N549DN,A21N,L2J
71c285,HL8285,B77L,L2J
aac337,N793AN,B772,L2J
acae64,N916QS,C68A,No
c03e54,C-FXPR,DA42,L2P
345318,EC-MOU,A332,L2J
4d20d6,9H-VJJ,GLEX,L2J
a9ab07,N722AN,B77W,L2J
c07fb0,C-GWJF,B737,L2J
abb007,N852NW,A332,L2J
c06b6a,C-GORP,B38M,L2J
c0614d,C-GKWA,B738,L2J
40688b,G-XLEA,A388,L4J
c013db,C-FHNM,B738,L2J
c05bd1,C-GIUA,M20P,L1P
c05bd2,C-GIUB,A321,L2J
c051e6,C-GFAJ,A333,L2J
c01728,C-FITZ,S22T,No
a46864,N383WA,PA46,L1P
c0105d,C-FGFC,M600,L1T
c02fd8,C-FSDB,B38M,L2J
a9ccab,N730SR,SF50,No
a92ea8,N691CJ,C25B,L2J
3c4591,D-AALQ,B77L,L2J
c07937,C-GTXM,LJ35,L2J
3c64f3,D-AIGS,A343,L4J
4ca87d,EI-EJH,A332,L2J
c045a7,C-GAJU,B752,L2J
780233,B-LJC,B748,L4J
c043cb,C-FZRM,B738,L2J
a97282,N708CK,B744,L4J
a7522e,N571AP,C560,L2J
896363,A6-RRJ,A319,L2J
a75634,N572DT,A21N,L2J
c002ea,C-FBCR,CL60,L2J
a9a7c4,N721FD,A306,L2J
a0d724,N153UP,A306,L2J
ac1846,N879FD,B77L,L2J
a7650b,N576DN,A21N,L2J
c01ef8,C-FLSX,DH8A,L2T
